"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","GDP","TOT","MLN_USD","A","2000",153023.386,
"DNK","GDP","TOT","MLN_USD","A","2001",157748.156,
"DNK","GDP","TOT","MLN_USD","A","2002",164720.391,
"DNK","GDP","TOT","MLN_USD","A","2003",166139.58,
"DNK","GDP","TOT","MLN_USD","A","2004",178017.929,
"DNK","GDP","TOT","MLN_USD","A","2005",185074.466,
"DNK","GDP","TOT","MLN_USD","A","2006",202997.244,
"DNK","GDP","TOT","MLN_USD","A","2007",213029.943,
"DNK","GDP","TOT","MLN_USD","A","2008",226767.494,
"DNK","GDP","TOT","MLN_USD","A","2009",222754.194,
"DNK","GDP","TOT","MLN_USD","A","2010",238567.314,
"DNK","GDP","TOT","MLN_USD","A","2011",247352.237,
"DNK","GDP","TOT","MLN_USD","A","2012",250524.599,
"DNK","GDP","TOT","MLN_USD","A","2013",262368.12,
"DNK","GDP","TOT","MLN_USD","A","2014",270330.607,
"DNK","GDP","TOT","MLN_USD","A","2015",278748.365,
"DNK","GDP","TOT","MLN_USD","A","2016",297719.06,
"DNK","GDP","TOT","MLN_USD","A","2017",319130.165,
"DNK","GDP","TOT","MLN_USD","A","2018",333035.355,
"DNK","GDP","TOT","MLN_USD","A","2019",340268.742,
"DNK","GDP","TOT","MLN_USD","A","2020",350374.313,
"DNK","GDP","TOT","MLN_USD","A","2021",379788.104,
"IRL","GDP","TOT","MLN_USD","A","2000",114937.732,
"IRL","GDP","TOT","MLN_USD","A","2001",125913.057,
"IRL","GDP","TOT","MLN_USD","A","2002",138490.842,
"IRL","GDP","TOT","MLN_USD","A","2003",145005.765,
"IRL","GDP","TOT","MLN_USD","A","2004",157655.24,
"IRL","GDP","TOT","MLN_USD","A","2005",168336.081,
"IRL","GDP","TOT","MLN_USD","A","2006",189031.104,
"IRL","GDP","TOT","MLN_USD","A","2007",205753.769,
"IRL","GDP","TOT","MLN_USD","A","2008",198299.13,
"IRL","GDP","TOT","MLN_USD","A","2009",188086.888,
"IRL","GDP","TOT","MLN_USD","A","2010",197046.369,
"IRL","GDP","TOT","MLN_USD","A","2011",206494.885,
"IRL","GDP","TOT","MLN_USD","A","2012",213365.684,
"IRL","GDP","TOT","MLN_USD","A","2013",221217.164,
"IRL","GDP","TOT","MLN_USD","A","2014",238187.305,
"IRL","GDP","TOT","MLN_USD","A","2015",324787.369,
"IRL","GDP","TOT","MLN_USD","A","2016",340185.299,
"IRL","GDP","TOT","MLN_USD","A","2017",374825.508,
"IRL","GDP","TOT","MLN_USD","A","2018",412301.576,
"IRL","GDP","TOT","MLN_USD","A","2019",431376.701,
"IRL","GDP","TOT","MLN_USD","A","2020",465373.257,
"IRL","GDP","TOT","MLN_USD","A","2021",541321.399,
"ITA","GDP","TOT","MLN_USD","A","2000",1541560.802,
"ITA","GDP","TOT","MLN_USD","A","2001",1597196.303,
"ITA","GDP","TOT","MLN_USD","A","2002",1639680.501,
"ITA","GDP","TOT","MLN_USD","A","2003",1673369.915,
"ITA","GDP","TOT","MLN_USD","A","2004",1704872.813,
"ITA","GDP","TOT","MLN_USD","A","2005",1746658.11,
"ITA","GDP","TOT","MLN_USD","A","2006",1886981.526,
"ITA","GDP","TOT","MLN_USD","A","2007",1995154.341,
"ITA","GDP","TOT","MLN_USD","A","2008",2089717.307,
"ITA","GDP","TOT","MLN_USD","A","2009",2044872.135,
"ITA","GDP","TOT","MLN_USD","A","2010",2084102.928,
"ITA","GDP","TOT","MLN_USD","A","2011",2173169.961,
"ITA","GDP","TOT","MLN_USD","A","2012",2172383.108,
"ITA","GDP","TOT","MLN_USD","A","2013",2187376.607,
"ITA","GDP","TOT","MLN_USD","A","2014",2200256.409,
"ITA","GDP","TOT","MLN_USD","A","2015",2240922.483,
"ITA","GDP","TOT","MLN_USD","A","2016",2420672.141,
"ITA","GDP","TOT","MLN_USD","A","2017",2517184.468,
"ITA","GDP","TOT","MLN_USD","A","2018",2600326.872,
"ITA","GDP","TOT","MLN_USD","A","2019",2650570.648,
"ITA","GDP","TOT","MLN_USD","A","2020",2501671.384,
"ITA","GDP","TOT","MLN_USD","A","2021",2723374.665,
