"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","QGDP","VOLIDX","IDX","Q","2000-Q1",85.8,
"DNK","QGDP","VOLIDX","IDX","Q","2000-Q2",86.8,
"DNK","QGDP","VOLIDX","IDX","Q","2000-Q3",87,
"DNK","QGDP","VOLIDX","IDX","Q","2000-Q4",87.9,
"DNK","QGDP","VOLIDX","IDX","Q","2001-Q1",86.9,
"DNK","QGDP","VOLIDX","IDX","Q","2001-Q2",87.3,
"DNK","QGDP","VOLIDX","IDX","Q","2001-Q3",88.1,
"DNK","QGDP","VOLIDX","IDX","Q","2001-Q4",88,
"DNK","QGDP","VOLIDX","IDX","Q","2002-Q1",87.9,
"DNK","QGDP","VOLIDX","IDX","Q","2002-Q2",87.9,
"DNK","QGDP","VOLIDX","IDX","Q","2002-Q3",88.2,
"DNK","QGDP","VOLIDX","IDX","Q","2002-Q4",87.9,
"DNK","QGDP","VOLIDX","IDX","Q","2003-Q1",88.4,
"DNK","QGDP","VOLIDX","IDX","Q","2003-Q2",87.6,
"DNK","QGDP","VOLIDX","IDX","Q","2003-Q3",87.9,
"DNK","QGDP","VOLIDX","IDX","Q","2003-Q4",89.5,
"DNK","QGDP","VOLIDX","IDX","Q","2004-Q1",89.9,
"DNK","QGDP","VOLIDX","IDX","Q","2004-Q2",90.5,
"DNK","QGDP","VOLIDX","IDX","Q","2004-Q3",90.7,
"DNK","QGDP","VOLIDX","IDX","Q","2004-Q4",91.7,
"DNK","QGDP","VOLIDX","IDX","Q","2005-Q1",91.3,
"DNK","QGDP","VOLIDX","IDX","Q","2005-Q2",93.1,
"DNK","QGDP","VOLIDX","IDX","Q","2005-Q3",93.2,
"DNK","QGDP","VOLIDX","IDX","Q","2005-Q4",93.5,
"DNK","QGDP","VOLIDX","IDX","Q","2006-Q1",94.7,
"DNK","QGDP","VOLIDX","IDX","Q","2006-Q2",97.5,
"DNK","QGDP","VOLIDX","IDX","Q","2006-Q3",96.9,
"DNK","QGDP","VOLIDX","IDX","Q","2006-Q4",96.6,
"DNK","QGDP","VOLIDX","IDX","Q","2007-Q1",96.9,
"DNK","QGDP","VOLIDX","IDX","Q","2007-Q2",96.5,
"DNK","QGDP","VOLIDX","IDX","Q","2007-Q3",97.4,
"DNK","QGDP","VOLIDX","IDX","Q","2007-Q4",98.4,
"DNK","QGDP","VOLIDX","IDX","Q","2008-Q1",98.4,
"DNK","QGDP","VOLIDX","IDX","Q","2008-Q2",97.5,
"DNK","QGDP","VOLIDX","IDX","Q","2008-Q3",96.9,
"DNK","QGDP","VOLIDX","IDX","Q","2008-Q4",94.6,
"DNK","QGDP","VOLIDX","IDX","Q","2009-Q1",93.2,
"DNK","QGDP","VOLIDX","IDX","Q","2009-Q2",91.4,
"DNK","QGDP","VOLIDX","IDX","Q","2009-Q3",91.8,
"DNK","QGDP","VOLIDX","IDX","Q","2009-Q4",91.8,
"DNK","QGDP","VOLIDX","IDX","Q","2010-Q1",92.6,
"DNK","QGDP","VOLIDX","IDX","Q","2010-Q2",93.3,
"DNK","QGDP","VOLIDX","IDX","Q","2010-Q3",94.7,
"DNK","QGDP","VOLIDX","IDX","Q","2010-Q4",94.5,
"DNK","QGDP","VOLIDX","IDX","Q","2011-Q1",94.7,
"DNK","QGDP","VOLIDX","IDX","Q","2011-Q2",95.7,
"DNK","QGDP","VOLIDX","IDX","Q","2011-Q3",94.5,
"DNK","QGDP","VOLIDX","IDX","Q","2011-Q4",95.3,
"DNK","QGDP","VOLIDX","IDX","Q","2012-Q1",95.2,
"DNK","QGDP","VOLIDX","IDX","Q","2012-Q2",95.3,
"DNK","QGDP","VOLIDX","IDX","Q","2012-Q3",95.4,
"DNK","QGDP","VOLIDX","IDX","Q","2012-Q4",95.2,
"DNK","QGDP","VOLIDX","IDX","Q","2013-Q1",95.7,
"DNK","QGDP","VOLIDX","IDX","Q","2013-Q2",95.8,
"DNK","QGDP","VOLIDX","IDX","Q","2013-Q3",96.4,
"DNK","QGDP","VOLIDX","IDX","Q","2013-Q4",96.6,
"DNK","QGDP","VOLIDX","IDX","Q","2014-Q1",96.9,
"DNK","QGDP","VOLIDX","IDX","Q","2014-Q2",96.8,
"DNK","QGDP","VOLIDX","IDX","Q","2014-Q3",98.4,
"DNK","QGDP","VOLIDX","IDX","Q","2014-Q4",98.8,
"DNK","QGDP","VOLIDX","IDX","Q","2015-Q1",99.4,
"DNK","QGDP","VOLIDX","IDX","Q","2015-Q2",99.9,
"DNK","QGDP","VOLIDX","IDX","Q","2015-Q3",100.2,
"DNK","QGDP","VOLIDX","IDX","Q","2015-Q4",100.4,
"DNK","QGDP","VOLIDX","IDX","Q","2016-Q1",101.6,
"DNK","QGDP","VOLIDX","IDX","Q","2016-Q2",103,
"DNK","QGDP","VOLIDX","IDX","Q","2016-Q3",103.8,
"DNK","QGDP","VOLIDX","IDX","Q","2016-Q4",104.6,
"DNK","QGDP","VOLIDX","IDX","Q","2017-Q1",105.3,
"DNK","QGDP","VOLIDX","IDX","Q","2017-Q2",106.4,
"DNK","QGDP","VOLIDX","IDX","Q","2017-Q3",106.1,
"DNK","QGDP","VOLIDX","IDX","Q","2017-Q4",106.9,
"DNK","QGDP","VOLIDX","IDX","Q","2018-Q1",107.4,
"DNK","QGDP","VOLIDX","IDX","Q","2018-Q2",107.9,
"DNK","QGDP","VOLIDX","IDX","Q","2018-Q3",108.6,
"DNK","QGDP","VOLIDX","IDX","Q","2018-Q4",109.1,
