"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2000",54.1094119031004,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2001",57.2713415090373,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2002",59.3396714016426,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2003",62.2909057272642,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2004",69.1174227935569,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2005",82.9709574273934,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2006",102.925757314393,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2007",105.67676419191,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2008",100.200250500626,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2009",88.1972204930511,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2010",90.6729766824415,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2011",89.1222228055568,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2012",86.746966867417,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2013",90.0977252443129,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2014",93.4987337468342,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2016",104.726511816279,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2017",109.377773444433,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2018",114.528786321966,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2019",117.529793824484,
"DNK","HOUSECOST","NOMINAL","IDX2015","A","2020",123.531308828272,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2000",79.4744848445133,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2001",89.3205038780744,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2002",95.5530972548497,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2003",109.141769769359,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2004",121.325332664479,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2005",131.81375,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2006",151.417,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2007",162.69375,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2008",151.4,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2009",122.412,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2010",105.976,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2011",87.8815000000001,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2012",76.0377500000001,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2013",77.0045,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2014",89.7232500000001,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2016",107.4845,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2017",119.16175,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2018",131.3635,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2019",134.43075,
"IRL","HOUSECOST","NOMINAL","IDX2015","A","2020",134.84725,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2000",70.0132294702986,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2001",75.754908030958,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2002",83.0117639963817,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2003",91.5445974469797,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2004",100.636689114484,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2005",108.225783495829,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2006",115.191197105237,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2007",121.130252286662,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2008",123.17709920595,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2009",118.646535330184,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2010",118.1,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2011",119.7,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2012",116.65,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2013",109.1,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2014",103.95,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2016",100.25,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2017",99.1750000000002,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2018",98.6250000000002,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2019",98.5250000000001,
"ITA","HOUSECOST","NOMINAL","IDX2015","A","2020",100.4,
