"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HOUSECOST","REAL","IDX2015","Q","2000-Q1",67.9233593520756,
"DNK","HOUSECOST","REAL","IDX2015","Q","2000-Q2",69.1787334710667,
"DNK","HOUSECOST","REAL","IDX2015","Q","2000-Q3",70.0613731861968,
"DNK","HOUSECOST","REAL","IDX2015","Q","2000-Q4",70.9645197833972,
"DNK","HOUSECOST","REAL","IDX2015","Q","2001-Q1",71.8481559839541,
"DNK","HOUSECOST","REAL","IDX2015","Q","2001-Q2",71.756048221585,
"DNK","HOUSECOST","REAL","IDX2015","Q","2001-Q3",72.0070224840827,
"DNK","HOUSECOST","REAL","IDX2015","Q","2001-Q4",72.0933003379356,
"DNK","HOUSECOST","REAL","IDX2015","Q","2002-Q1",72.7247625013313,
"DNK","HOUSECOST","REAL","IDX2015","Q","2002-Q2",73.0073915909616,
"DNK","HOUSECOST","REAL","IDX2015","Q","2002-Q3",73.2918369558325,
"DNK","HOUSECOST","REAL","IDX2015","Q","2002-Q4",73.6802580878714,
"DNK","HOUSECOST","REAL","IDX2015","Q","2003-Q1",74.1935422906765,
"DNK","HOUSECOST","REAL","IDX2015","Q","2003-Q2",75.3931295540898,
"DNK","HOUSECOST","REAL","IDX2015","Q","2003-Q3",76.4854383663405,
"DNK","HOUSECOST","REAL","IDX2015","Q","2003-Q4",77.5443708500138,
"DNK","HOUSECOST","REAL","IDX2015","Q","2004-Q1",79.451190652838,
"DNK","HOUSECOST","REAL","IDX2015","Q","2004-Q2",81.926830811641,
"DNK","HOUSECOST","REAL","IDX2015","Q","2004-Q3",84.3971710492626,
"DNK","HOUSECOST","REAL","IDX2015","Q","2004-Q4",87.1220450329692,
"DNK","HOUSECOST","REAL","IDX2015","Q","2005-Q1",90.6111889611974,
"DNK","HOUSECOST","REAL","IDX2015","Q","2005-Q2",93.9231568505015,
"DNK","HOUSECOST","REAL","IDX2015","Q","2005-Q3",100.742101950005,
"DNK","HOUSECOST","REAL","IDX2015","Q","2005-Q4",107.496158248548,
"DNK","HOUSECOST","REAL","IDX2015","Q","2006-Q1",115.243972766013,
"DNK","HOUSECOST","REAL","IDX2015","Q","2006-Q2",119.665793779774,
