"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPI","TOT","IDX2015","Q","2000-Q1",64.73183,
"AUS","CPI","TOT","IDX2015","Q","2000-Q2",65.19619,
"AUS","CPI","TOT","IDX2015","Q","2000-Q3",67.70374,
"AUS","CPI","TOT","IDX2015","Q","2000-Q4",67.88948,
"AUS","CPI","TOT","IDX2015","Q","2001-Q1",68.63246,
"AUS","CPI","TOT","IDX2015","Q","2001-Q2",69.18969,
"AUS","CPI","TOT","IDX2015","Q","2001-Q3",69.37543,
"AUS","CPI","TOT","IDX2015","Q","2001-Q4",70.02554,
"AUS","CPI","TOT","IDX2015","Q","2002-Q1",70.67564,
"AUS","CPI","TOT","IDX2015","Q","2002-Q2",71.14001,
"AUS","CPI","TOT","IDX2015","Q","2002-Q3",71.60436,
"AUS","CPI","TOT","IDX2015","Q","2002-Q4",72.06873,
"AUS","CPI","TOT","IDX2015","Q","2003-Q1",72.99744,
"AUS","CPI","TOT","IDX2015","Q","2003-Q2",72.99744,
"AUS","CPI","TOT","IDX2015","Q","2003-Q3",73.46181,
"AUS","CPI","TOT","IDX2015","Q","2003-Q4",73.8333,
"AUS","CPI","TOT","IDX2015","Q","2004-Q1",74.4834,
"AUS","CPI","TOT","IDX2015","Q","2004-Q2",74.85489,
"AUS","CPI","TOT","IDX2015","Q","2004-Q3",75.13351,
"AUS","CPI","TOT","IDX2015","Q","2004-Q4",75.69073,
"AUS","CPI","TOT","IDX2015","Q","2005-Q1",76.24797,
"AUS","CPI","TOT","IDX2015","Q","2005-Q2",76.71233,
"AUS","CPI","TOT","IDX2015","Q","2005-Q3",77.45531,
"AUS","CPI","TOT","IDX2015","Q","2005-Q4",77.82679,
"AUS","CPI","TOT","IDX2015","Q","2006-Q1",78.4769,
"AUS","CPI","TOT","IDX2015","Q","2006-Q2",79.77711,
"AUS","CPI","TOT","IDX2015","Q","2006-Q3",80.52008,
"AUS","CPI","TOT","IDX2015","Q","2006-Q4",80.42721,
"AUS","CPI","TOT","IDX2015","Q","2007-Q1",80.42721,
"AUS","CPI","TOT","IDX2015","Q","2007-Q2",81.44881,
"AUS","CPI","TOT","IDX2015","Q","2007-Q3",82.00603,
"AUS","CPI","TOT","IDX2015","Q","2007-Q4",82.74902,
"AUS","CPI","TOT","IDX2015","Q","2008-Q1",83.86348,
"AUS","CPI","TOT","IDX2015","Q","2008-Q2",85.07082,
"AUS","CPI","TOT","IDX2015","Q","2008-Q3",86.09241,
"AUS","CPI","TOT","IDX2015","Q","2008-Q4",85.81379,
"AUS","CPI","TOT","IDX2015","Q","2009-Q1",85.90666,
"AUS","CPI","TOT","IDX2015","Q","2009-Q2",86.27815,
"AUS","CPI","TOT","IDX2015","Q","2009-Q3",87.114,
"AUS","CPI","TOT","IDX2015","Q","2009-Q4",87.57836,
"AUS","CPI","TOT","IDX2015","Q","2010-Q1",88.41421,
"AUS","CPI","TOT","IDX2015","Q","2010-Q2",88.97144,
"AUS","CPI","TOT","IDX2015","Q","2010-Q3",89.62154,
"AUS","CPI","TOT","IDX2015","Q","2010-Q4",89.99303,
"AUS","CPI","TOT","IDX2015","Q","2011-Q1",91.29324,
"AUS","CPI","TOT","IDX2015","Q","2011-Q2",92.12909,
"AUS","CPI","TOT","IDX2015","Q","2011-Q3",92.68633,
"AUS","CPI","TOT","IDX2015","Q","2011-Q4",92.68633,
"AUS","CPI","TOT","IDX2015","Q","2012-Q1",92.7792,
"AUS","CPI","TOT","IDX2015","Q","2012-Q2",93.24356,
"AUS","CPI","TOT","IDX2015","Q","2012-Q3",94.54376,
"AUS","CPI","TOT","IDX2015","Q","2012-Q4",94.72951,
"AUS","CPI","TOT","IDX2015","Q","2013-Q1",95.101,
"AUS","CPI","TOT","IDX2015","Q","2013-Q2",95.47249,
"AUS","CPI","TOT","IDX2015","Q","2013-Q3",96.58695,
"AUS","CPI","TOT","IDX2015","Q","2013-Q4",97.32993,
"AUS","CPI","TOT","IDX2015","Q","2014-Q1",97.88716,
"AUS","CPI","TOT","IDX2015","Q","2014-Q2",98.35152,
"AUS","CPI","TOT","IDX2015","Q","2014-Q3",98.81588,
"AUS","CPI","TOT","IDX2015","Q","2014-Q4",99.00163,
"AUS","CPI","TOT","IDX2015","Q","2015-Q1",99.18737,
