"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HUR","TOT","PC_LF","Q","2000-Q1",4.666667,
"DNK","HUR","TOT","PC_LF","Q","2000-Q2",4.433333,
"DNK","HUR","TOT","PC_LF","Q","2000-Q3",4.1,
"DNK","HUR","TOT","PC_LF","Q","2000-Q4",4.066667,
"DNK","HUR","TOT","PC_LF","Q","2001-Q1",4.366667,
"DNK","HUR","TOT","PC_LF","Q","2001-Q2",4.333333,
"DNK","HUR","TOT","PC_LF","Q","2001-Q3",4.633333,
"DNK","HUR","TOT","PC_LF","Q","2001-Q4",4.7,
"DNK","HUR","TOT","PC_LF","Q","2002-Q1",4.433333,
"DNK","HUR","TOT","PC_LF","Q","2002-Q2",4.4,
"DNK","HUR","TOT","PC_LF","Q","2002-Q3",4.933333,
"DNK","HUR","TOT","PC_LF","Q","2002-Q4",4.8,
"DNK","HUR","TOT","PC_LF","Q","2003-Q1",5,
"DNK","HUR","TOT","PC_LF","Q","2003-Q2",5.533333,
"DNK","HUR","TOT","PC_LF","Q","2003-Q3",5.433333,
"DNK","HUR","TOT","PC_LF","Q","2003-Q4",5.766667,
"DNK","HUR","TOT","PC_LF","Q","2004-Q1",5.666667,
"DNK","HUR","TOT","PC_LF","Q","2004-Q2",5.466667,
"DNK","HUR","TOT","PC_LF","Q","2004-Q3",5.6,
"DNK","HUR","TOT","PC_LF","Q","2004-Q4",5.333333,
"DNK","HUR","TOT","PC_LF","Q","2005-Q1",5.233333,
"DNK","HUR","TOT","PC_LF","Q","2005-Q2",5.066667,
"DNK","HUR","TOT","PC_LF","Q","2005-Q3",4.733333,
"DNK","HUR","TOT","PC_LF","Q","2005-Q4",4.166667,
"DNK","HUR","TOT","PC_LF","Q","2006-Q1",4.166667,
"DNK","HUR","TOT","PC_LF","Q","2006-Q2",4.1,
"DNK","HUR","TOT","PC_LF","Q","2006-Q3",3.7,
"DNK","HUR","TOT","PC_LF","Q","2006-Q4",3.633333,
"DNK","HUR","TOT","PC_LF","Q","2007-Q1",3.9,
"DNK","HUR","TOT","PC_LF","Q","2007-Q2",3.6,
"DNK","HUR","TOT","PC_LF","Q","2007-Q3",4.033333,
"DNK","HUR","TOT","PC_LF","Q","2007-Q4",3.566667,
"DNK","HUR","TOT","PC_LF","Q","2008-Q1",3.433333,
"DNK","HUR","TOT","PC_LF","Q","2008-Q2",3.466667,
"DNK","HUR","TOT","PC_LF","Q","2008-Q3",3.766667,
"DNK","HUR","TOT","PC_LF","Q","2008-Q4",4.133333,
"DNK","HUR","TOT","PC_LF","Q","2009-Q1",5.266667,
"DNK","HUR","TOT","PC_LF","Q","2009-Q2",6.533333,
"DNK","HUR","TOT","PC_LF","Q","2009-Q3",6.7,
"DNK","HUR","TOT","PC_LF","Q","2009-Q4",7.266667,
"DNK","HUR","TOT","PC_LF","Q","2010-Q1",7.666667,
"DNK","HUR","TOT","PC_LF","Q","2010-Q2",7.766667,
"DNK","HUR","TOT","PC_LF","Q","2010-Q3",7.633333,
"DNK","HUR","TOT","PC_LF","Q","2010-Q4",7.933333,
"DNK","HUR","TOT","PC_LF","Q","2011-Q1",7.9,
"DNK","HUR","TOT","PC_LF","Q","2011-Q2",7.466667,
"DNK","HUR","TOT","PC_LF","Q","2011-Q3",7.6,
"DNK","HUR","TOT","PC_LF","Q","2011-Q4",8.066667,
"DNK","HUR","TOT","PC_LF","Q","2012-Q1",7.733333,
"DNK","HUR","TOT","PC_LF","Q","2012-Q2",8.233334,
"DNK","HUR","TOT","PC_LF","Q","2012-Q3",7.766667,
"DNK","HUR","TOT","PC_LF","Q","2012-Q4",7.433333,
"DNK","HUR","TOT","PC_LF","Q","2013-Q1",7.533333,
"DNK","HUR","TOT","PC_LF","Q","2013-Q2",7.466667,
"DNK","HUR","TOT","PC_LF","Q","2013-Q3",7.366667,
"DNK","HUR","TOT","PC_LF","Q","2013-Q4",7.1,
"DNK","HUR","TOT","PC_LF","Q","2014-Q1",7.033333,
"DNK","HUR","TOT","PC_LF","Q","2014-Q2",6.833333,
"DNK","HUR","TOT","PC_LF","Q","2014-Q3",6.933333,
"DNK","HUR","TOT","PC_LF","Q","2014-Q4",6.866667,
"DNK","HUR","TOT","PC_LF","Q","2015-Q1",6.366667,
"DNK","HUR","TOT","PC_LF","Q","2015-Q2",6.333333,
"DNK","HUR","TOT","PC_LF","Q","2015-Q3",6.233333,
"DNK","HUR","TOT","PC_LF","Q","2015-Q4",6.133333,
"DNK","HUR","TOT","PC_LF","Q","2016-Q1",5.966667,
"DNK","HUR","TOT","PC_LF","Q","2016-Q2",6.066667,
"DNK","HUR","TOT","PC_LF","Q","2016-Q3",6,
"DNK","HUR","TOT","PC_LF","Q","2016-Q4",5.9,
"DNK","HUR","TOT","PC_LF","Q","2017-Q1",6.1,
"DNK","HUR","TOT","PC_LF","Q","2017-Q2",5.866667,
"DNK","HUR","TOT","PC_LF","Q","2017-Q3",5.933333,
"DNK","HUR","TOT","PC_LF","Q","2017-Q4",5.4,
"DNK","HUR","TOT","PC_LF","Q","2018-Q1",5.2,
"DNK","HUR","TOT","PC_LF","Q","2018-Q2",5.133333,
"DNK","HUR","TOT","PC_LF","Q","2018-Q3",4.9,
"DNK","HUR","TOT","PC_LF","Q","2018-Q4",5.266667,
"DNK","HUR","TOT","PC_LF","Q","2019-Q1",5.166667,
"DNK","HUR","TOT","PC_LF","Q","2019-Q2",4.866667,
"DNK","HUR","TOT","PC_LF","Q","2019-Q3",4.866667,
"DNK","HUR","TOT","PC_LF","Q","2019-Q4",5.133333,
"DNK","HUR","TOT","PC_LF","Q","2020-Q1",4.933333,
"DNK","HUR","TOT","PC_LF","Q","2020-Q2",5.466667,
"DNK","HUR","TOT","PC_LF","Q","2020-Q3",6.233333,
"DNK","HUR","TOT","PC_LF","Q","2020-Q4",5.933333,
"DNK","HUR","TOT","PC_LF","Q","2021-Q1",6.133333,
"DNK","HUR","TOT","PC_LF","Q","2021-Q2",4.933333,
"DNK","HUR","TOT","PC_LF","Q","2021-Q3",4.733333,
"DNK","HUR","TOT","PC_LF","Q","2021-Q4",4.566667,
"DNK","HUR","TOT","PC_LF","Q","2022-Q1",4.4,
"DNK","HUR","TOT","PC_LF","Q","2022-Q2",4.166667,
"IRL","HUR","TOT","PC_LF","Q","2000-Q1",4.8,
"IRL","HUR","TOT","PC_LF","Q","2000-Q2",4.6,
"IRL","HUR","TOT","PC_LF","Q","2000-Q3",4.266667,
"IRL","HUR","TOT","PC_LF","Q","2000-Q4",3.9,
"IRL","HUR","TOT","PC_LF","Q","2001-Q1",3.966667,
"IRL","HUR","TOT","PC_LF","Q","2001-Q2",4,
"IRL","HUR","TOT","PC_LF","Q","2001-Q3",4.366667,
"IRL","HUR","TOT","PC_LF","Q","2001-Q4",4.4,
"IRL","HUR","TOT","PC_LF","Q","2002-Q1",4.533333,
"IRL","HUR","TOT","PC_LF","Q","2002-Q2",4.633333,
"IRL","HUR","TOT","PC_LF","Q","2002-Q3",4.5,
"IRL","HUR","TOT","PC_LF","Q","2002-Q4",5.233333,
"IRL","HUR","TOT","PC_LF","Q","2003-Q1",4.833333,
"IRL","HUR","TOT","PC_LF","Q","2003-Q2",4.8,
"IRL","HUR","TOT","PC_LF","Q","2003-Q3",5,
"IRL","HUR","TOT","PC_LF","Q","2003-Q4",4.766667,
"IRL","HUR","TOT","PC_LF","Q","2004-Q1",5.133333,
"IRL","HUR","TOT","PC_LF","Q","2004-Q2",4.666667,
"IRL","HUR","TOT","PC_LF","Q","2004-Q3",4.5,
"IRL","HUR","TOT","PC_LF","Q","2004-Q4",4.7,
"IRL","HUR","TOT","PC_LF","Q","2005-Q1",4.433333,
"IRL","HUR","TOT","PC_LF","Q","2005-Q2",4.866667,
"IRL","HUR","TOT","PC_LF","Q","2005-Q3",4.7,
"IRL","HUR","TOT","PC_LF","Q","2005-Q4",4.533333,
"IRL","HUR","TOT","PC_LF","Q","2006-Q1",4.7,
"IRL","HUR","TOT","PC_LF","Q","2006-Q2",4.733333,
"IRL","HUR","TOT","PC_LF","Q","2006-Q3",5,
"IRL","HUR","TOT","PC_LF","Q","2006-Q4",4.666667,
"IRL","HUR","TOT","PC_LF","Q","2007-Q1",4.9,
"IRL","HUR","TOT","PC_LF","Q","2007-Q2",5,
"IRL","HUR","TOT","PC_LF","Q","2007-Q3",4.9,
"IRL","HUR","TOT","PC_LF","Q","2007-Q4",5.2,
