anno	mese	vendite
2005	gen	4479
2005	feb	4496
2005	mar	4333
2005	apr	4184
2005	mag	4212
2005	giu	4115
2005	lug	4095
2005	ago	4217
2005	set	4267
2005	ott	4441
2005	nov	4534
2005	dic	4840
2006	gen	4510
2006	feb	4630
2006	mar	4400
2006	apr	4195
2006	mag	4367
2006	giu	4252
2006	lug	4252
2006	ago	4318
2006	set	4386
2006	ott	4526
2006	nov	4726
2006	dic	4992
2007	gen	4765
2007	feb	4689
2007	mar	4634
2007	apr	4575
2007	mag	4513
2007	giu	4427
2007	lug	4458
2007	ago	4549
2007	set	4569
2007	ott	4663
2007	nov	4939
2007	dic	5252
2008	gen	4968
2008	feb	4847
2008	mar	4747
2008	apr	4548
2008	mag	4590
2008	giu	4378
2008	lug	4583
2008	ago	4665
2008	set	4789
2008	ott	4754
2008	nov	5036
2008	dic	5352
2009	gen	5077
2009	feb	5151
2009	mar	4951
2009	apr	4826
2009	mag	4837
2009	giu	4703
2009	lug	4811
2009	ago	4825
2009	set	4862
2009	ott	4986
2009	nov	5262
2009	dic	5476
2010	gen	5218
2010	feb	5245
2010	mar	5134
2010	apr	4995
2010	mag	4946
2010	giu	4839
2010	lug	4945
2010	ago	5012
2010	set	5105
2010	ott	5154
2010	nov	5318
2010	dic	5630
2011	gen	5399
2011	feb	5485
2011	mar	5331
2011	apr	5087
2011	mag	5146
2011	giu	5112
2011	lug	5000
2011	ago	5113
2011	set	5216
2011	ott	5278
2011	nov	5592
2011	dic	5847
